Formatted ID,Name,Release,Iteration,Schedule State,Plan Estimate,Task Estimate Total,Task Remaining Total,Owner,Package,Parent ID,Display Color
US218432,"<hr size=""8"" color=""blue"" /><font color=""blue"">Iteration 0</font>",,,Backlog,,0,0,,,,
US218459,ARCH: What data store (technology) will we use to replace Splunk data?,,,Backlog,,0,0,,,,
US218462,ARCH: Where will the source data for the reports reside?,,,Backlog,,0,0,,,,
US218463,"ARCH: What changes are needed to capture and report full life-cycle transaction data (cycle time, etc.)?",,,Backlog,,0,0,,,,
US218464,ARCH: Where will the reports be accessed from (what URL?)  - portal?,,,Backlog,,0,0,,,,
US218473,We have figured out how to reduce the impact of all Risks above probability / impact line,,,Backlog,,0,0,,,,
US218476,All iteration zero designated questions have been answered,,,Backlog,,0,0,,,,
US218482,"GET: Stakeholder champions (GMs, etc.) who can provide us important feedback",,,Backlog,,0,0,,,,
US218487,GET: Who is going to QA (test) stories before it goes to the PO for acceptance?,,,Backlog,,0,0,,,,
US218431,"<hr size=""8"" color=""blue"" /><font color=""blue"">Release 1</font>",,,Backlog,,0,0,,,,
US218483,GIVE: Schedule Release 2 planning meeting,Release 1,,Backlog,5,0,0,,,,
US218397,Need a list of all data elements related to kiosk reporting,Release 1,,Backlog,5,0,0,,,,
US218402,"<font color=""red""><b>GIVE: list of data elements to team providing the data (TBD) to....</b></font>",Release 1,,Backlog,5,0,0,,,,
US218403,"<font color=""red""><b>GET: infrastructure needed to develop the reports from infrastructure team....</b></font>",Release 1,,Backlog,5,0,0,,,,
US218381,Epic: Repository of kiosk data necessary to provide accurate kiosk reporting,Release 1,,Backlog,5,0,0,,,,
US218303,Report Successful and unsuccessful kiosk Sessions,Release 1,,Backlog,5,0,0,,,,
US218305,Report Kiosk Session Durations,Release 1,,Backlog,5,0,0,,,,
US218369,Access to kiosk session data for ad-hoc analysis and validation,Release 1,,Backlog,5,0,0,,,,
US218423,"<font color=""red""><b>GET: List of error types by category from PO</b></font>",Release 1,,Backlog,5,0,0,,,,
US218302,Report  Errors,Release 1,,Backlog,5,0,0,,,,
US218294,Report Error category totals,Release 1,,Backlog,5,0,0,,,,
US218295,Report Error Category Domestic,Release 1,,Backlog,5,0,0,,,,
US218296,Report  Error Category International,Release 1,,Backlog,5,0,0,,,,
US218297,Report Error Details,Release 1,,Backlog,5,0,0,,,,
US218466,"<font color=""red""><b>GET: Training required for targeted customers from PO</b></font>",Release 1,,Backlog,5,0,0,,,,
US218468,"<font color=""red""><b>GET: Communication to and means to gather feedback from GMs  from PO</b></font>",Release 1,,Backlog,5,0,0,,,,
US218469,"<font color=""red""><b>Beta test completed features with a small, medium, and large station. </b></font>",Release 1,,Backlog,5,0,0,,,,
US218449,Release 1 - 30% contingency for Discovery,Release 1,,Backlog,5,0,0,,,,
US218453,Release 1 - 25% contingency for Find & Fix,Release 1,,Backlog,5,0,0,,,,
US218427,"<hr size=""8"" color=""blue"" /><font color=""blue"">Release 2</font>",,,Backlog,,0,0,,,,
US218286,Report Kiosk status (problems / working or not),,,Backlog,,0,0,,,,
US218304,Report kiosk Usage by kiosk channel (current OPA report),,,Backlog,,0,0,,,,
US218283,"Report Kiosk Summary (includes bags, revenue)",,,Backlog,,0,0,,,,
US218404,"<font color=""red""><b>GET: infrastructure needed for the data in production mode</b></font>",,,Backlog,,0,0,,,,
US218301,Report Merchandising/Ancillary Conversion,,,Backlog,,0,0,,,,
US218282,Report Average number of PNR and Passengers,,,Backlog,,0,0,,,,
US218300,Report Performance,,,Backlog,,0,0,,,,
US218281,Report breakdown of checkin at kiosks,,,Backlog,,0,0,,,,
US218287,Report Check in totals,,,Backlog,,0,0,,,,
US218288,Report Check in International,,,Backlog,,0,0,,,,
US218289,Report Check in Domestic,,,Backlog,,0,0,,,,
US218290,Report AAdvantage Totals,,,Backlog,,0,0,,,,
US218291,Report AAdvantage domestic,,,Backlog,,0,0,,,,
US218292,Report AAdvantage international,,,Backlog,,0,0,,,,
US218298,Report Kiosk Last transaction,,,Backlog,,0,0,,,,
US218299,Report Kiosk Status,,,Backlog,,0,0,,,,
US218284,Report Customer check in and profiles for staffing,,,Backlog,,0,0,,,,
US218285,Report  transaction times on kiosks for staffing,,,Backlog,,0,0,,,,
US218454,Release 2 - 30% contingency for Discovery,,,Backlog,,0,0,,,,
US218455,Release 2 - 25% contingency for Find & Fix,,,Backlog,,0,0,,,,
